; Contiene i fatti che descrivono come è fatto l'ambiente dal punto di vista reale, con tutte le informazioni possibili.
; La lettura di questo file (tramite load-facts) comporta l'asserzione di tutti i fatti sul mondo, notare che devono
; essere comunque definiti i deftemplates dei fatti asseriti.
; Se cambiamo questo file andiamo a rappresentare un mondo diverso.

(real_cell (pos-r 1) (pos-c 1) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 2) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 3) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 4) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 5) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 6) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 7) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 8) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 9) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 10) (contains outdoor) (injured no))
(real_cell (pos-r 1) (pos-c 11) (contains outdoor) (injured no))
(real_cell (pos-r 2) (pos-c 1) (contains outdoor) (injured no))
(real_cell (pos-r 2) (pos-c 2) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 3) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 4) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 5) (contains gate) (injured no))
(real_cell (pos-r 2) (pos-c 6) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 7) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 8) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 9) (contains gate) (injured no))
(real_cell (pos-r 2) (pos-c 10) (contains wall) (injured no))
(real_cell (pos-r 2) (pos-c 11) (contains outdoor) (injured no))
(real_cell (pos-r 3) (pos-c 1) (contains outdoor) (injured no))
(real_cell (pos-r 3) (pos-c 2) (contains wall) (injured no))
(real_cell (pos-r 3) (pos-c 3) (contains empty) (injured no))
(real_cell (pos-r 3) (pos-c 4) (contains debris) (injured yes))
(real_cell (pos-r 3) (pos-c 5) (contains empty) (injured no))
(real_cell (pos-r 3) (pos-c 6) (contains empty) (injured no))
(real_cell (pos-r 3) (pos-c 7) (contains empty) (injured no))
(real_cell (pos-r 3) (pos-c 8) (contains empty) (injured no))
(real_cell (pos-r 3) (pos-c 9) (contains empty) (injured no))
(real_cell (pos-r 3) (pos-c 10) (contains wall) (injured no))
(real_cell (pos-r 3) (pos-c 11) (contains outdoor) (injured no))
(real_cell (pos-r 4) (pos-c 1) (contains outdoor) (injured no))
(real_cell (pos-r 4) (pos-c 2) (contains wall) (injured no))
(real_cell (pos-r 4) (pos-c 3) (contains empty) (injured no))
(real_cell (pos-r 4) (pos-c 4) (contains debris) (injured no))
(real_cell (pos-r 4) (pos-c 5) (contains empty) (injured no))
(real_cell (pos-r 4) (pos-c 6) (contains empty) (injured no))
(real_cell (pos-r 4) (pos-c 7) (contains debris) (injured no))
(real_cell (pos-r 4) (pos-c 8) (contains debris) (injured yes))
(real_cell (pos-r 4) (pos-c 9) (contains empty) (injured no))
(real_cell (pos-r 4) (pos-c 10) (contains wall) (injured no))
(real_cell (pos-r 4) (pos-c 11) (contains outdoor) (injured no))
(real_cell (pos-r 5) (pos-c 1) (contains outdoor) (injured no))
(real_cell (pos-r 5) (pos-c 2) (contains wall) (injured no))
(real_cell (pos-r 5) (pos-c 3) (contains empty) (injured no))
(real_cell (pos-r 5) (pos-c 4) (contains wall) (injured no))
(real_cell (pos-r 5) (pos-c 5) (contains wall) (injured no))
(real_cell (pos-r 5) (pos-c 6) (contains empty) (injured no))
(real_cell (pos-r 5) (pos-c 7) (contains wall) (injured no))
(real_cell (pos-r 5) (pos-c 8) (contains wall) (injured no))
